material,density_g_cm3,dielectric_constant,mean_n,mean_n_squared,flags
Al2O3,3.99,9.8,1.765,3.1152249999999997,
BSA,1.35,4.0,1.447,2.0938090000000003,
Chromium,7.19,-10.7,3.4633333333333334,11.994677777777778,negative_dielectric
DMSO,1.1,46.7,1.483952874222403,2.202116132912931,
DPPC,1.01,2.0,1.47775,2.1837450625,
Ethanol,0.789,24.5,1.3527349037705547,1.829891719879132,
Gold,19.32,-24.0,1.0193478260869566,1.0390699905482044,negative_dielectric
ITO,7.12,,1.8433333333333335,3.3978777777777784,dielectric_missing
Nylon66,1.14,3.5,1.53,2.3409,
PDMS,0.97,,1.407,1.979649,dielectric_missing
PEEK,1.32,3.2,1.65,2.7224999999999997,
PEG,1.13,12.0,1.5308156365026289,2.3433965129609486,
PEI,1.03,3.8,1.52,2.3104,
PMMA,1.19,3.6,1.486077806167191,2.2084272459826915,
PTFE,2.2,2.1,1.35,1.8225000000000002,
PVA,1.27,10.8,1.5,2.25,
Polystyrene,1.05,2.6,1.5845354559374616,2.5107526111229395,
SiO2,2.2,3.9,1.4449985092597442,2.0880206917628827,
Silicon,2.329,11.7,3.5801521739130435,12.817489588374292,
Silver,10.49,-15.0,0.135,0.018225,negative_dielectric very_low_n
TiO2,4.23,86.0,2.441666666666667,5.9617361111111125,
Water,1.0,78.4,1.3115102040816327,1.7200590154102458,
ZnO,5.61,8.5,2.004,4.016016,
