property_a,property_b,shared_material_count,flag
k,viscosity,2,LOW
k,storage_modulus,3,LOW
dielectric_constant,viscosity,5,LOW
chemical_descriptors,viscosity,6,LOW
density,viscosity,6,LOW
n,viscosity,6,LOW
neutron_sld,viscosity,6,LOW
storage_modulus,viscosity,6,LOW
viscosity,xray_sld,6,LOW
dielectric_constant,storage_modulus,7,LOW
chemical_descriptors,k,8,LOW
chemical_descriptors,storage_modulus,8,LOW
dielectric_constant,k,8,LOW
density,k,9,LOW
density,storage_modulus,9,LOW
k,n,9,LOW
k,neutron_sld,9,LOW
k,xray_sld,9,LOW
n,storage_modulus,9,LOW
neutron_sld,storage_modulus,9,LOW
storage_modulus,xray_sld,9,LOW
chemical_descriptors,dielectric_constant,21,OK
density,dielectric_constant,21,OK
dielectric_constant,n,21,OK
dielectric_constant,neutron_sld,21,OK
dielectric_constant,xray_sld,21,OK
chemical_descriptors,density,22,OK
chemical_descriptors,n,22,OK
chemical_descriptors,neutron_sld,22,OK
chemical_descriptors,xray_sld,22,OK
density,n,23,OK
density,neutron_sld,23,OK
density,xray_sld,23,OK
n,neutron_sld,23,OK
n,xray_sld,23,OK
neutron_sld,xray_sld,23,OK
