raw_name,source_tables,canonical_suggestion,issues
Al2O3,legacy_materials;materials,,OK
BSA,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
Chromium,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
DMSO,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
DPPC,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
Ethanol,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
Gold,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
ITO,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
Nylon66,legacy_materials;materials,,OK
PDMS,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
PEEK,legacy_materials;materials,,OK
PEG,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
PEI,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
PMMA,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
PTFE,legacy_materials;materials,,OK
PVA,legacy_materials;materials,,OK
Polystyrene,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
SiO2,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
Silicon,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
Silver,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
TiO2,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
Water,legacy_materials;legacy_pubchem_data;material_synonyms;materials,,OK
ZnO,legacy_materials;materials,,OK
