material_id,material_name,chemical_descriptors,density_g_cm3,dielectric_constant,k,n,neutron_sld,viscoelastic,viscosity_pas,xray_sld
1,Water,present,present,present,present,present,present,present,present,present
2,Gold,present,present,present,present,present,present,missing,missing,present
3,SiO2,present,present,present,missing,present,present,missing,missing,present
4,Polystyrene,present,present,present,missing,present,present,present,missing,present
5,DPPC,present,present,present,missing,present,present,present,present,present
6,PMMA,present,present,present,missing,present,present,present,missing,present
7,Ethanol,present,present,present,present,present,present,present,present,present
8,DMSO,present,present,present,missing,present,present,present,present,present
9,PEG,present,present,present,missing,present,present,present,present,present
10,Silicon,present,present,present,present,present,present,missing,missing,present
15,TiO2,present,present,present,present,present,present,missing,missing,present
16,PDMS,present,present,missing,missing,present,present,present,present,present
17,PEI,present,present,present,missing,present,present,missing,missing,present
18,BSA,present,present,present,missing,present,present,missing,missing,present
20,ITO,missing,present,missing,present,present,present,present,missing,present
21,Chromium,present,present,present,present,present,present,missing,missing,present
22,Silver,present,present,present,present,present,present,missing,missing,present
24,PTFE,present,present,present,missing,present,present,missing,missing,present
25,PEEK,present,present,present,missing,present,present,missing,missing,present
26,PVA,present,present,present,missing,present,present,missing,missing,present
27,Nylon66,present,present,present,missing,present,present,missing,missing,present
28,Al2O3,present,present,present,missing,present,present,missing,missing,present
29,ZnO,present,present,present,present,present,present,missing,missing,present
